timesteps,episode_reward,episode_length
50,-8.070137,50
100,-8.351087,50
150,-10.501939,50
200,-5.823242,50
250,-8.805718,50
300,-10.455233,50
350,-10.060986,50
400,-14.516389,50
450,-7.13469,50
500,-12.767283,50
550,-7.591498,50
600,-11.70514,50
650,-13.825866,50
700,-10.203636,50
750,-9.766064,50
800,-10.825222,50
850,-11.424031,50
900,-5.362189,50
950,-6.085542,50
1000,-7.72014,50
1050,-7.098752,50
1100,-17.050467,50
1150,-10.269322,50
1200,-7.733557,50
1250,-6.385249,50
1300,-12.964764,50
1350,-11.535751,50
1400,-6.083144,50
1450,-12.65337,50
1500,-4.872523,50
1550,-15.831225,50
1600,-13.326071,50
1650,-5.7487,50
1700,-7.842772,50
1750,-12.132114,50
1800,-3.253325,50
1850,-5.522246,50
1900,-12.578656,50
1950,-10.328624,50
2000,-7.266654,50
2050,-11.720782,50
2100,-20.529987,50
2150,-11.55076,50
2200,-17.817504,50
2250,-17.408228,50
2300,-12.889042,50
2350,-13.773364,50
2400,-10.861475,50
2450,-11.585126,50
2500,-10.953895,50
2550,-10.333508,50
2600,-9.482833,50
2650,-11.341686,50
2700,-9.799876,50
2750,-17.289305,50
2800,-8.725894,50
2850,-6.906048,50
2900,-16.498282,50
2950,-8.854544,50
3000,-14.151797,50
3050,-14.582153,50
3100,-12.168016,50
3150,-16.98724,50
3200,-5.535523,50
3250,-15.064397,50
3300,-7.957565,50
3350,-9.87735,50
3400,-11.698109,50
3450,-14.285856,50
3500,-11.069803,50
3550,-4.89696,50
3600,-8.406317,50
3650,-5.896925,50
3700,-13.960677,50
3750,-7.789838,50
3800,-9.161154,50
3850,-18.992582,50
3900,-6.286937,50
3950,-8.501106,50
4000,-10.657276,50
4050,-15.423807,50
4100,-7.024317,50
4150,-8.416697,50
4200,-12.289955,50
4250,-9.611263,50
4300,-10.901666,50
4350,-9.611019,50
4400,-13.242866,50
4450,-12.724811,50
4500,-13.774394,50
4550,-12.498138,50
4600,-11.699723,50
4650,-5.688796,50
4700,-10.694661,50
4750,-13.21531,50
4800,-13.846783,50
4850,-8.675771,50
4900,-10.936227,50
4950,-6.092278,50
5000,-11.651466,50
5050,-10.398379,50
5100,-10.202452,50
5150,-9.402985,50
5200,-12.325661,50
5250,-13.542428,50
5300,-7.761282,50
5350,-8.429749,50
5400,-8.059332,50
5450,-9.735206,50
