timesteps,episode_reward,episode_length,is_success
50,-48.0,50,0.0
100,-50.0,50,0.0
150,-50.0,50,0.0
200,-50.0,50,0.0
250,-46.0,50,0.0
300,-50.0,50,0.0
350,-50.0,50,0.0
400,-50.0,50,0.0
450,-50.0,50,0.0
500,-50.0,50,0.0
550,-50.0,50,0.0
600,-45.0,50,1.0
650,-50.0,50,0.0
700,-50.0,50,0.0
750,-50.0,50,0.0
800,-50.0,50,0.0
850,-50.0,50,0.0
900,-50.0,50,0.0
950,-50.0,50,0.0
1000,-50.0,50,0.0
1050,-50.0,50,0.0
1100,-50.0,50,0.0
1150,-50.0,50,0.0
1200,-50.0,50,0.0
1250,-50.0,50,0.0
1300,-50.0,50,0.0
1350,-50.0,50,0.0
1400,-50.0,50,0.0
1450,-50.0,50,0.0
1500,-50.0,50,0.0
1550,-50.0,50,0.0
1600,-50.0,50,0.0
1650,-50.0,50,0.0
1700,-50.0,50,0.0
1750,-50.0,50,0.0
1800,-50.0,50,0.0
1850,-50.0,50,0.0
1900,-50.0,50,0.0
1950,-47.0,50,0.0
2000,-50.0,50,0.0
2050,-50.0,50,0.0
2100,-50.0,50,0.0
2150,-50.0,50,0.0
2200,-50.0,50,0.0
2250,-50.0,50,0.0
2300,-50.0,50,0.0
2350,-50.0,50,0.0
2400,-50.0,50,0.0
2450,-50.0,50,0.0
2500,-50.0,50,0.0
2550,-50.0,50,0.0
2600,-50.0,50,0.0
2650,-50.0,50,0.0
2700,-50.0,50,0.0
2750,-50.0,50,0.0
2800,-50.0,50,0.0
2850,-50.0,50,0.0
2900,-50.0,50,0.0
2950,-43.0,50,0.0
3000,-50.0,50,0.0
3050,-50.0,50,0.0
3100,-50.0,50,0.0
3150,-50.0,50,0.0
3200,-50.0,50,0.0
3250,-50.0,50,0.0
3300,-50.0,50,0.0
3350,-37.0,50,0.0
3400,-50.0,50,0.0
3450,-49.0,50,0.0
3500,-50.0,50,0.0
3550,-47.0,50,0.0
3600,-50.0,50,0.0
3650,-50.0,50,0.0
3700,-47.0,50,0.0
3750,-50.0,50,0.0
3800,-50.0,50,0.0
3850,-50.0,50,0.0
3900,-50.0,50,0.0
3950,-50.0,50,0.0
4000,-45.0,50,0.0
4050,-47.0,50,0.0
4100,-50.0,50,0.0
4150,-50.0,50,0.0
4200,-50.0,50,0.0
4250,-50.0,50,0.0
4300,-50.0,50,0.0
4350,-50.0,50,0.0
4400,-50.0,50,0.0
4450,-50.0,50,0.0
4500,-50.0,50,0.0
4550,-50.0,50,0.0
4600,-50.0,50,0.0
4650,-50.0,50,0.0
4700,-50.0,50,0.0
4750,-50.0,50,0.0
4800,-50.0,50,0.0
4850,-48.0,50,0.0
4900,-50.0,50,0.0
4950,-50.0,50,0.0
5000,-50.0,50,0.0
5050,-50.0,50,0.0
5100,-50.0,50,0.0
5150,-50.0,50,0.0
5200,-50.0,50,0.0
5250,-50.0,50,0.0
5300,-50.0,50,0.0
5350,-50.0,50,0.0
5400,-50.0,50,0.0
5450,-49.0,50,0.0
5500,-50.0,50,0.0
5550,-50.0,50,0.0
5600,-50.0,50,0.0
5650,-50.0,50,0.0
5700,-46.0,50,0.0
5750,-50.0,50,0.0
5800,-39.0,50,0.0
5850,-46.0,50,0.0
5900,-48.0,50,0.0
5950,-50.0,50,0.0
6000,-46.0,50,0.0
6050,-50.0,50,0.0
6100,-49.0,50,0.0
6150,-47.0,50,0.0
6200,-21.0,50,1.0
6250,-50.0,50,0.0
6300,-50.0,50,0.0
6350,-49.0,50,0.0
6400,-45.0,50,0.0
6450,-50.0,50,0.0
6500,-43.0,50,0.0
6550,-49.0,50,0.0
6600,-49.0,50,0.0
6650,-27.0,50,0.0
6700,-46.0,50,0.0
6750,-39.0,50,0.0
6800,-33.0,50,0.0
6850,-37.0,50,0.0
6900,-35.0,50,0.0
6950,-30.0,50,0.0
7000,-50.0,50,0.0
7050,-33.0,50,0.0
7100,-34.0,50,0.0
7150,-40.0,50,0.0
7200,-29.0,50,1.0
7250,-29.0,50,0.0
7300,-35.0,50,0.0
7350,-35.0,50,1.0
7400,-3.0,50,1.0
7450,-8.0,50,0.0
7500,-38.0,50,0.0
7550,-40.0,50,0.0
7600,-17.0,50,1.0
7650,-17.0,50,1.0
7700,-22.0,50,0.0
7750,-27.0,50,0.0
7800,-25.0,50,0.0
7850,-10.0,50,1.0
7900,-24.0,50,1.0
7950,-27.0,50,0.0
8000,-38.0,50,0.0
8050,-19.0,50,1.0
8100,-25.0,50,1.0
8150,-26.0,50,0.0
8200,-38.0,50,1.0
8250,-26.0,50,0.0
8300,-9.0,50,1.0
8350,-8.0,50,0.0
8400,-17.0,50,1.0
8450,-15.0,50,1.0
8500,-2.0,50,1.0
8550,-22.0,50,0.0
8600,-30.0,50,1.0
8650,-6.0,50,1.0
8700,-15.0,50,1.0
8750,-7.0,50,1.0
8800,-16.0,50,1.0
8850,-9.0,50,0.0
8900,-27.0,50,0.0
8950,-19.0,50,1.0
9000,-13.0,50,1.0
9050,-27.0,50,1.0
9100,-6.0,50,1.0
9150,-2.0,50,1.0
9200,-24.0,50,0.0
9250,-5.0,50,1.0
9300,-1.0,50,1.0
9350,-2.0,50,1.0
9400,-28.0,50,0.0
9450,-12.0,50,1.0
9500,-12.0,50,1.0
9550,-11.0,50,1.0
9600,-11.0,50,1.0
9650,-4.0,50,1.0
9700,-13.0,50,1.0
9750,-15.0,50,1.0
9800,-18.0,50,1.0
9850,-13.0,50,1.0
9900,-5.0,50,1.0
9950,-15.0,50,1.0
10000,-12.0,50,1.0
10050,-11.0,50,0.0
10100,-11.0,50,1.0
10150,-6.0,50,1.0
10200,-8.0,50,1.0
10250,-10.0,50,1.0
10300,-11.0,50,1.0
10350,-9.0,50,1.0
10400,-8.0,50,1.0
10450,-4.0,50,1.0
10500,-3.0,50,1.0
10550,-14.0,50,1.0
10600,-21.0,50,1.0
10650,-12.0,50,1.0
10700,-2.0,50,1.0
10750,-2.0,50,1.0
10800,-2.0,50,1.0
10850,0.0,50,1.0
10900,-13.0,50,1.0
10950,-21.0,50,0.0
11000,-15.0,50,1.0
11050,-18.0,50,1.0
11100,-10.0,50,1.0
11150,-10.0,50,0.0
11200,-16.0,50,1.0
11250,-6.0,50,1.0
11300,-2.0,50,1.0
11350,-2.0,50,1.0
11400,0.0,50,1.0
11450,-5.0,50,1.0
11500,-6.0,50,1.0
11550,-8.0,50,1.0
11600,-8.0,50,1.0
11650,-7.0,50,1.0
11700,-12.0,50,0.0
11750,-4.0,50,1.0
11800,-3.0,50,1.0
11850,-4.0,50,0.0
11900,-9.0,50,1.0
11950,-3.0,50,1.0
12000,-2.0,50,1.0
12050,-5.0,50,1.0
12100,-4.0,50,1.0
12150,-2.0,50,1.0
12200,-2.0,50,1.0
12250,-3.0,50,1.0
12300,-2.0,50,1.0
12350,-3.0,50,1.0
12400,-3.0,50,1.0
12450,-4.0,50,1.0
12500,-3.0,50,1.0
12550,-2.0,50,1.0
12600,-2.0,50,1.0
12650,0.0,50,1.0
12700,-2.0,50,1.0
12750,-2.0,50,1.0
12800,-1.0,50,1.0
12850,-3.0,50,1.0
12900,-4.0,50,1.0
12950,-1.0,50,1.0
13000,-5.0,50,1.0
13050,0.0,50,1.0
13100,-2.0,50,1.0
13150,-1.0,50,1.0
13200,-4.0,50,1.0
13250,-7.0,50,1.0
13300,-3.0,50,1.0
13350,-4.0,50,1.0
13400,-4.0,50,1.0
13450,-2.0,50,1.0
13500,-2.0,50,1.0
13550,-3.0,50,1.0
13600,-2.0,50,1.0
13650,-7.0,50,1.0
13700,-2.0,50,1.0
13750,0.0,50,1.0
13800,-1.0,50,1.0
13850,-1.0,50,1.0
13900,-1.0,50,1.0
13950,-5.0,50,1.0
14000,-9.0,50,1.0
14050,-3.0,50,1.0
14100,-3.0,50,1.0
14150,-2.0,50,1.0
14200,-3.0,50,1.0
14250,-1.0,50,1.0
14300,-6.0,50,1.0
14350,-2.0,50,1.0
14400,-1.0,50,1.0
14450,-2.0,50,1.0
14500,-3.0,50,1.0
14550,-1.0,50,1.0
14600,-2.0,50,1.0
14650,-2.0,50,1.0
14700,-3.0,50,1.0
14750,-3.0,50,1.0
14800,-3.0,50,1.0
14850,-2.0,50,1.0
14900,-3.0,50,1.0
14950,-2.0,50,1.0
15000,-1.0,50,1.0
15050,-1.0,50,1.0
15100,-3.0,50,1.0
15150,-2.0,50,1.0
15200,0.0,50,1.0
15250,-2.0,50,1.0
15300,-1.0,50,1.0
15350,-3.0,50,1.0
15400,-2.0,50,1.0
15450,0.0,50,1.0
15500,-1.0,50,1.0
15550,-3.0,50,1.0
15600,-2.0,50,1.0
15650,-1.0,50,1.0
15700,-3.0,50,1.0
15750,-2.0,50,1.0
15800,-3.0,50,1.0
15850,-2.0,50,1.0
15900,0.0,50,1.0
15950,-2.0,50,1.0
16000,-2.0,50,1.0
16050,-1.0,50,1.0
16100,-2.0,50,1.0
16150,-2.0,50,1.0
16200,-3.0,50,1.0
16250,0.0,50,1.0
16300,-2.0,50,1.0
16350,-5.0,50,1.0
16400,-1.0,50,1.0
16450,-1.0,50,1.0
16500,-3.0,50,1.0
16550,-3.0,50,1.0
16600,-2.0,50,1.0
16650,-2.0,50,1.0
16700,-2.0,50,1.0
16750,-2.0,50,1.0
16800,-2.0,50,1.0
16850,-2.0,50,1.0
16900,0.0,50,1.0
16950,-2.0,50,1.0
17000,-1.0,50,1.0
17050,0.0,50,1.0
17100,-2.0,50,1.0
17150,0.0,50,1.0
17200,-2.0,50,1.0
17250,-1.0,50,1.0
17300,-2.0,50,1.0
17350,-2.0,50,1.0
17400,-3.0,50,1.0
17450,-2.0,50,1.0
17500,-3.0,50,1.0
17550,-1.0,50,1.0
17600,-3.0,50,1.0
